,2012-01-12 14:22:00,2012-02-13 04:45:00,2012-03-08 15:10:00,2012-04-19 14:49:00,2012-07-05 15:15:00,2012-07-26 14:21:00,2012-11-01 13:56:00,2013-02-07 15:06:00,2013-05-05 11:22:00,2013-07-25 16:38:00,2013-08-01 15:32:00,2014-02-06 14:51:00,2014-02-20 15:45:00,2014-06-08 09:09:00,2014-06-30 19:04:00,2014-07-08 19:09:00,2014-11-09 11:02:00,2015-03-17 02:38:00,2015-04-02 01:16:00,2015-06-25 12:28:00,2015-08-06 02:31:00,2015-08-31 03:18:00,2016-02-11 14:15:00,2016-02-11 14:27:00,2016-04-27 11:52:00,2016-08-31 14:20:00,2016-10-13 14:17:00,2016-10-13 14:28:00,2016-12-26 07:55:00,2017-06-29 15:38:00,2017-09-24 01:21:00,2017-10-08 02:13:00,2018-01-12 15:31:00,2018-04-08 01:24:00,2018-08-23 04:10:00,2018-09-15 02:49:00,2018-10-28 11:49:00,2019-01-31 14:18:00,2019-03-25 02:07:00,2019-06-23 08:11:00
thr_temp_max,0.07108952368005622,0.035149073451467734,0.008967061323428992,0.036834221394920104,0.008693764581533368,0.01766756573382827,0.015205223728918341,-0.01460882994797517,0.049891486902790064,0.03489951639668277,0.039069107177864854,0.047900553733690336,0.05421335480150346,-0.03673495362824917,0.030293283386457277,0.03966749934873591,0.0581189177198195,0.0640791157283467,0.02429532990606959,0.048731404895931155,0.034367674808560005,0.029849648235666874,0.06377798943246168,-0.000830995934808252,0.05335158733836504,-0.012618369392112486,0.04741161820890837,-0.010058898378354074,0.005517910652194906,0.06415372766308201,0.04901575758994438,0.028601149132790885,0.05935049683367401,0.04816378014251959,0.0445870316002659,-0.026372820038540724,-0.0016881828275066364,0.017717545877625866,0.0417574355863807,0.035842543907835006
thr_temp_min,0.013535349776783293,0.004510885084979972,0.0232146885170605,0.04536225652957909,0.025344870725772347,0.02053573494485722,-0.00565340284803538,0.0474567913648666,0.019896362113169384,0.026098379497119767,0.02426112201035242,-0.002682354775083261,0.017729859823760685,0.00396366219331164,0.009121594661907153,0.022288093088062132,0.037085443897599726,-0.04383788541728089,0.006924425401604582,-0.0051002353219454,0.04046182448289461,0.05028635519659856,0.036989887778950986,0.0033758707223825635,0.01845067272754942,0.013076532397784094,0.017382081070692036,0.046482885051882604,0.014585570903560299,0.005797766476707805,0.03973624198404805,0.02301238432155495,0.02808197340127119,0.02221786266310276,0.01448090476037044,0.010261448722075923,0.0002518204746000072,0.05537332590669678,0.04496931117712481,0.036433741568420296
att_err_max,0.06287670264288474,0.08100073199756737,-0.0017021729323292737,0.002661002942680283,0.1360164715719627,0.005720900619862153,0.16180390453216684,0.0052933264285547985,0.025448110895870013,0.02183475052244495,0.008638688615810134,0.012851498640608614,0.019583469152023518,0.10523304417048779,0.012413841890901622,-0.006912661593434002,0.002943522682835605,0.008305542475039614,0.0028538828635508327,0.0010723575256549687,0.01729929100927397,0.01633905361019245,0.006238565340082929,0.0023572858396999938,0.007453636396064247,0.0007669956878529578,0.0007120275416863598,0.00162226061935607,0.12993384808170635,0.0022356285176974256,-0.005130795796567116,0.013289167182734592,0.01063681749558167,-0.00032722085682169126,0.011561438226553198,0.14062819945581873,0.013656326534370272,0.05717079626053594,0.0022421656545767,0.03877059862162105
thr_temp_slope,0.018603884595558486,0.020696449824848584,0.06059333565945415,0.005675404534242571,0.0006186742146598507,0.0144461149600891,0.01642070573103932,0.013686283342700065,0.021257674895053143,0.07673472344498362,0.04364832658329939,0.029046071388165343,0.011652791628339343,0.003899788176089144,0.002864127500176216,-0.0017289880451467076,0.03192757884727841,0.044568527291591276,-0.00412753080200729,-0.03282978226736723,0.03147733853031839,0.0019466148019323516,0.015319264139464042,0.004497520914739138,0.0008066419762225763,0.009611957510648441,0.00866321470923208,0.04010570386567046,0.025279158719325717,0.015482846988621837,0.026436392264160828,0.012397542983061418,0.019975885799784057,0.009487603361485776,-0.012195481633941104,-0.004741395030141124,0.03525163773571759,-0.005613808815728024,-0.00754646251258527,0.024509371542391533
thr_temp_std,0.02453378949703419,0.0009490330995093974,0.0007783240730958798,0.010152496241229965,-0.0012956665702091722,0.01936681829788549,0.011072705052329445,0.03465362501326305,0.01007585105698082,0.01264481616300807,0.01618173919714474,0.014967700209695248,-0.008063301631085014,-0.01658241639215517,-0.01198455496947255,0.02600094113546523,0.0014585198506993195,-0.012038034937883375,0.05010560749380845,0.005025141664077947,-0.0003152999117107131,0.007129293616459988,0.05189936078563688,-0.004174710017348979,0.021980439470150232,0.012995548806482632,-0.006299224092771373,0.009774540264214015,0.001205683180398465,0.02489798092373986,-0.0015615798013894466,0.011802815560589756,0.013798939183596256,-0.00019483546679157648,0.007023221679711949,0.001122879585862841,0.02388340947520031,0.0073858041665155125,0.06684048436313743,0.010076921478883163
att_err_mean,0.0024814952073483392,0.026164513818820335,0.002531142562952668,0.019183754323525173,0.020951398653971696,0.030010711235059693,-0.008468298110240134,0.035826509483233904,-0.005897114140758547,-0.00424364183921003,-0.04607856091307882,0.015867668244300935,-0.006358263414881788,-0.0027721428077341573,0.01273002593021687,0.014363235267715171,-0.000993309391200746,0.015692181792437362,0.013013132178048356,-0.0030055178339453825,-0.008602483964774019,0.001160813621606742,0.014829795123176028,0.022908498043947637,-0.013077407214355977,0.024248279895646326,0.009149493851788044,-0.00391685881936432,0.022691316625692803,0.0009762215652736249,0.0006863832345234696,0.017537943466166377,0.004624220296367661,-0.0019337821207222106,0.023487372017369813,0.000768884047417884,0.028796890254776254,0.0037352116060455575,0.005114547344585148,-0.0024328547605501523
att_err_std,-0.00759672452698785,-0.010332084889925703,-0.03261584516915047,0.004346366306602289,-0.013355479665476915,0.005532063996192077,0.013743352493743746,-0.0027477972873670587,-0.014571947532704516,0.006195502961296158,0.014943719766500142,-0.009364393172160711,0.006707278396839693,0.012360945497329369,0.005528790624115262,0.013005990639525346,0.03412742727698066,0.011399529911665762,0.013499221348149926,-0.0008387285038728659,0.024120880934145966,0.023058297424902376,0.03385334727953834,0.01604166961572669,0.009983756757819349,-0.012947271132307894,-0.023684564446400474,0.004424682007426141,-0.001137618255020058,0.01993794588874134,-0.009663021908695417,0.009191740552983349,0.024730155619267332,0.006110803193125937,0.019858660946168567,0.010302760236428555,0.012141260465751614,-0.0012607919642551562,0.024072799773346577,0.018327762826838866
thr_temp_mean,-0.01536493624434302,0.019189145961448377,0.011707320557262264,0.02186595427201718,-0.007416675364931789,0.00559855125847569,0.002937213285038743,0.015166620917069055,0.009579677379224674,0.010273372789805552,0.018882351404621613,0.0156632291042095,0.017329090649614073,-0.012299452161894313,0.003812986119255697,0.01080299171405101,0.02718502280821668,0.02255866030745963,0.021809144390623283,0.013167589046267858,0.015776471952607493,0.01830201664889543,0.007305260466209533,0.014737697443859195,0.016784138739196767,0.006064951393207259,0.02568966092958252,0.020332587505134288,-0.023546892089453215,0.020871823451070266,0.018662473177425136,0.013044186874619921,-0.0007808189450684721,0.028303405732502205,0.020622491406488853,-0.006011792795316992,0.003919950778436112,0.018146912235032425,0.01968525404398358,0.019530020232595553
ap,0.015282386550433503,0.013368491440222053,0.016726583511258712,-0.0047079689934911295,-0.0066418307373327014,0.02671357747873254,-0.010427780973108506,0.021982422193369246,0.024630521310943405,-0.008711541043670815,0.0028715798728580267,0.0028797948155711984,0.00026104228311827244,0.02162970267186759,0.02255882320327259,0.019402850238688263,0.014015336871416333,0.005122637814330673,0.0109028993800669,0.04334911988678435,0.006636773166370003,0.006940864828338377,0.013156183934271067,0.014627523768583365,0.01620650043319373,0.016491041925723426,0.0391241080885443,0.026898004095907844,0.0014953228321033798,0.008269356591433396,0.007072779017406935,0.015416101617520895,0.012726307665062086,0.023070479373300434,0.01615302200187947,0.007596900257687456,0.010020172835362896,0.002118474076317949,0.008055284301176963,-0.011067924439777867
Kp,0.015500926373370359,0.013189717159450706,0.005821472888168108,-0.009831023871494192,-0.0023929687119568395,0.022541079081996263,-0.0005725513553923691,0.011737919650195302,0.021790766021754834,-0.012260341248352992,0.0026881891781649534,0.004111511602151682,0.007532283932306236,0.014710431358183207,0.02054782195731541,0.021948733419658997,0.01069978049027459,0.004091940363617278,0.00738317204264703,0.038470257405493195,0.0054358844151411985,0.005433051441158243,0.020012078232405275,0.02193110249645769,0.015351182683881864,0.01674984831792731,0.040015190490381276,0.008655138917844975,-0.004275558790858721,-0.00402319429551026,0.001748150573684163,0.0178427544583648,0.014544832427961752,0.013913403115854992,0.013855050323207841,-0.0006353334476108402,0.0016724936955183458,0.006725386298481411,0.007514740081577427,-0.005583537520121999
