,2021-10-27 00:40:00,2021-10-27 00:50:00,2021-10-27 01:00:00,2021-10-27 01:10:00,2021-10-27 01:20:00,2021-10-27 01:30:00,2021-10-27 01:40:00,2021-10-27 01:50:00,2021-10-27 02:00:00,2021-10-27 02:10:00,2021-10-27 02:20:00,2021-10-27 02:30:00,2021-10-27 02:40:00,2021-10-27 02:50:00,2021-10-27 03:00:00,2021-10-27 03:10:00,2021-10-27 03:20:00,2021-10-27 03:30:00,2021-10-27 03:40:00,2021-10-27 03:50:00,2021-10-27 04:00:00,2021-10-27 04:10:00,2021-10-27 04:20:00,2021-10-27 04:30:00,2021-10-27 04:40:00
ANT_3_ACU_max,0.00013636649,0.0003309168,0.00025704727,0.00021442631,0.00039723277,0.00016925528,5.6741148e-05,4.3290365e-05,0.00014978903,0.00024334234,3.6444577e-05,0.00020524292,-7.962072e-06,0.00016110667,4.8613445e-05,-6.28297e-05,0.00017336647,0.00017428838,0.00014078937,0.00032311163,-0.00014495793,1.3146763e-05,-5.6942376e-05,-5.766074e-05,-8.978289e-05
ANT_4_ACU_mean,-0.00022243541,-7.341191e-05,-0.00012998874,-4.6820063e-05,-0.00011083551,-0.00011827498,-0.00011977607,-0.00011895995,-8.838964e-05,-5.2671836e-05,-4.4534507e-05,-2.9101295e-05,1.69116e-05,-7.5566255e-05,-0.00012454893,-5.3497668e-05,-0.0001380684,-0.00017165292,-0.00015426186,-0.00018633033,-0.00012672709,-0.00014163727,-0.000115266,-5.7822366e-05,-5.4429307e-05
ANT_4_ACU_std,-9.994572e-05,-2.8655006e-05,-4.087057e-05,-4.4752636e-05,-3.9185255e-05,-5.19512e-05,-6.9101676e-05,-9.243403e-05,-6.41072e-05,-7.268346e-05,-1.4277976e-05,0.000106040534,0.000157335,0.000103917264,-6.380159e-05,-8.118939e-05,-5.6159995e-05,-2.8072829e-05,-5.649014e-05,-5.0572533e-05,-4.8997335e-05,-2.5626437e-05,-3.9660463e-05,-9.023297e-05,-7.1165865e-05
ANT_4_ACU_min,-2.2175267e-05,-2.4251218e-05,-6.77358e-05,-3.169215e-05,-1.9417355e-05,-3.6725458e-05,-1.9496572e-05,-3.5166413e-05,-3.3559987e-05,-1.67734e-05,-1.5409689e-05,-5.205336e-06,2.1396984e-06,-5.0555877e-06,-1.2906217e-05,-4.7108195e-05,-3.975223e-05,-8.299507e-06,3.4293113e-05,-3.112573e-05,5.543911e-06,-4.4577362e-05,-9.927634e-06,-5.262638e-05,7.1442314e-06
ANT_4_ACU_max,-2.1346395e-07,-2.8904678e-06,-1.32724745e-05,-3.6829867e-06,-2.148154e-06,-9.985275e-06,-3.073291e-06,-1.4456601e-05,-7.316982e-06,-3.4349168e-06,2.0624311e-06,-1.9585192e-05,-1.9585192e-05,-2.6402078e-05,-4.763641e-06,-1.3129981e-05,-2.093612e-05,-7.2443813e-06,-1.15381545e-05,-1.1757825e-05,6.8388124e-07,-8.583859e-06,-1.3641548e-05,-3.8423073e-06,-4.7992535e-06
MODEM__10_IN_mean,-2.1815516e-05,9.6949916e-05,0.00020801023,-0.000117224816,0.0001412773,0.00015786842,-7.656218e-05,-3.5987574e-05,1.4957266e-05,-2.972055e-06,-0.00015556785,6.7897345e-05,0.00096206047,0.00052333024,-3.1420488e-05,2.5021105e-05,-8.211522e-05,-0.00018046486,-0.00013100785,1.7750252e-06,4.371331e-06,-3.1269992e-05,-1.7414277e-05,-3.9630326e-05,-4.319979e-05
MODEM__10_IN_std,0.00052536384,-4.4402652e-05,1.248097e-06,-5.5192497e-05,-4.7165548e-05,-4.4119162e-05,-2.9816976e-05,-0.00012597357,-4.448289e-05,-5.875413e-05,-1.8506189e-05,0.00094934093,0.00015568905,5.9392147e-05,0.00042832104,0.0003822801,1.25101915e-05,-2.2030772e-05,-3.482312e-05,-2.6769769e-05,0.00010702861,-8.068723e-07,-2.9062247e-05,-2.6860548e-06,1.6163072e-05
MODEM__10_IN_min,-9.805857e-05,-8.439981e-05,8.076615e-05,-0.000115705014,-4.243372e-05,-1.1568228e-05,-8.935243e-05,-9.846457e-05,-8.069917e-05,-0.00010175753,-0.00017092096,0.0012014084,0.001330508,0.0016304909,0.00069442973,0.00078562606,-0.00026046805,-0.00017486693,-0.00014674744,-0.00016250012,-8.797788e-05,-0.000116878306,-8.4577165e-05,-8.686971e-05,-4.398469e-05
MODEM__10_IN_max,3.887121e-05,7.782658e-05,4.7683748e-06,2.412418e-05,1.7225944e-05,2.9342982e-05,-3.2192725e-05,7.5952453e-06,-9.9564604e-05,0.00028885796,-5.6312915e-06,6.790599e-05,0.000504737,-7.6747456e-05,-6.40088e-06,-8.256714e-06,-1.3054188e-05,4.25611e-05,1.4973333e-05,-4.190105e-05,-5.4478212e-05,-0.0001273701,3.3352517e-05,-3.613748e-05,-4.3312313e-05
MODEM__10_OUT_mean,0.00011356237,-0.0005755627,0.0006711901,-0.00046384908,-0.00025949138,-0.00041885875,0.00066980283,0.0006730282,-0.00042730026,0.00010402466,0.00011775935,0.0007157645,0.000615418,0.0004583075,0.00063233636,0.00084731635,0.00047944864,0.00036961344,0.0004574322,0.00053985044,0.00019848955,0.0002848117,-0.0002913834,-0.0005491187,-0.00037901083
MODEM__10_OUT_std,4.890672e-06,7.7842715e-06,1.6409394e-05,-4.163315e-05,-2.0269244e-05,-2.0414469e-05,2.815685e-05,0.00033707055,-3.670557e-05,1.176881e-05,9.108717e-05,0.001083392,0.00095063495,0.0010889006,0.00039596943,0.00012629536,0.00024938362,0.00018998804,-0.00034870373,-0.0002646381,-0.00011408721,9.330737e-05,5.0481885e-05,5.741642e-06,6.284462e-05
MODEM__10_OUT_min,4.856134e-05,-0.00033384745,1.9230538e-05,-0.0003627207,-9.936494e-05,-0.000115031224,7.764492e-05,0.0015353699,-0.000206433,-6.9585425e-05,-0.0001813185,0.001093891,0.0013893706,0.0012703997,0.0014267262,0.0016909265,0.0010211816,0.00028196882,7.4072035e-05,7.169211e-05,0.00014448825,9.037368e-05,4.308387e-05,-0.00028497324,-0.0004040104
MODEM__10_OUT_max,0.000112649606,-0.00013807503,-0.00015694706,-0.00010092939,-0.00015848539,-0.00018303531,-0.00010469866,-0.00013694333,-0.0001628642,-6.810962e-05,-0.00012937724,0.0003247775,0.000390411,4.7461483e-05,0.00014826725,0.00024455122,0.00014086037,0.00044662214,0.00028585453,0.0006475867,0.00049837935,-0.00016695562,-0.00027918993,-0.000121101155,-0.00017740212
MODEM__11_IN_mean,-9.450531e-05,-0.00014735825,-0.00011550497,-0.00014935997,-0.00011170829,-0.00013802006,-0.00016245454,-0.00010900978,-0.000103291764,-0.00014743344,-0.00014992795,3.53482e-05,0.00023696199,-2.2853283e-05,4.938877e-05,0.00036132056,0.00016468801,2.6665637e-05,-8.434655e-05,-7.0367954e-05,-0.00010600021,-0.00014722784,-9.88719e-05,-3.6161597e-05,-4.0110226e-05
MODEM__11_IN_std,-5.7401336e-05,-0.00025261505,-7.892285e-06,-0.00021476901,0.0022201831,-0.0001218284,-0.00021772509,0.00014591901,-0.00015313718,-0.00018960047,0.00049135246,0.0008910561,-0.00014009961,0.00082930905,0.0003641933,-0.000121532015,-0.00035389923,-0.00023846232,-0.00024436208,2.6524029e-05,0.000109767134,-0.00019635296,0.00114736,-0.00016041614,0.0011840978
MODEM__11_IN_min,-0.00029200607,-0.00027377383,-0.0002892138,-0.0002511423,-0.00034591986,-0.000276605,-0.00030100124,-0.00032818704,-0.00030983548,-0.00032729984,0.0026151915,0.0026523045,0.002567505,0.002570831,5.3485524e-05,0.0002638999,6.3175816e-05,0.0002066259,-0.00020314178,4.2130734e-05,-0.00024088367,-0.0004521037,-0.00027754914,-0.00028642177,-0.0002694548
MODEM__11_IN_max,2.0720252e-05,-8.804022e-05,-8.8665365e-05,-0.000109696535,-0.00011290025,-6.286159e-05,-5.9067614e-05,-9.493809e-05,-5.5436543e-05,-5.7993984e-05,-8.387756e-05,-0.00011736453,0.0006807674,7.274997e-05,-1.928857e-06,0.00010672448,-2.9734116e-05,-3.6193862e-05,-8.653576e-05,-4.0125105e-05,-0.00012189383,-0.000104661995,-7.476628e-05,-4.201258e-05,-6.712648e-05
MODEM__11_OUT_mean,-0.000119295255,-0.0001354042,-0.00014273993,-0.00015357204,-0.00012523685,-0.00014123878,-0.00017878097,-0.00016671182,-0.00012711086,-0.0001184811,-0.00031003496,0.0021266085,0.0020969054,0.002020302,-9.003694e-06,-8.019321e-05,-0.00014703673,-0.00019834272,-0.0001898208,-6.067232e-05,-0.000114325194,-0.0001234586,-0.00018107773,-0.0001256481,-0.00012329394
MODEM__11_OUT_std,0.0001452006,-0.00012366998,-0.00015009665,5.839741e-05,4.6607838e-05,6.097594e-05,-7.360352e-05,-1.9688346e-06,3.2323605e-05,-0.00014317321,1.0804982e-05,-0.00012465226,-5.3760443e-05,5.5646713e-05,7.197947e-05,0.00013731516,9.827584e-05,0.00013267573,0.00011386695,9.623622e-05,0.00011437897,-0.00024141093,3.2627566e-05,-4.1605665e-05,0.000357638
MODEM__11_OUT_min,-0.00072147965,-0.0010963876,-0.0009925712,-0.0009981656,-0.0009899177,-0.00078250415,-0.0008878607,-0.00065418624,-0.0010321877,-0.0010588722,0.004988251,0.010065503,0.011447632,0.010973024,-0.0013125122,-0.0007351675,-0.0012841963,-0.0009133733,-0.0011389013,-0.0009777686,-0.0007459999,-0.0006177381,-0.0005289115,-0.00055505673,-0.0005164765
MODEM__11_OUT_max,3.5325847e-05,-0.00017367906,4.0949057e-05,-8.632281e-05,-7.633823e-05,-0.00014097091,-0.00017188305,1.0345213e-05,-0.00017933655,-0.000107412234,-4.124459e-05,0.0016706412,0.0008086615,0.0007230772,0.0004508863,0.00010987738,0.00015709047,0.0001833049,-1.5259529e-06,-0.00018200681,-0.00011606935,-9.255878e-05,-0.00014659677,8.408114e-05,-0.000112334084
MODEM__14_IN_mean,0.0011797348,0.0013237701,0.0012438308,0.001226464,-0.0002528826,-0.00022605996,0.0011513236,0.0011721674,0.0005866088,0.00025826143,0.00022744571,0.0006541272,0.0006331367,0.00049196434,-0.00020560996,-0.0002887092,-0.0002523845,0.00024168122,-0.0002566982,-0.00027455372,-0.00026404168,-0.00030174133,-0.00033108337,-0.00032596992,-0.00031092868
