time,beam_id,capacity_risk,jamming_risk,sla_risk,loss_risk,handover_risk,stress_index
2021-11-30 01:30:00+00:00,ASIA,0.8478157788628123,0.0281818933386594,1.0,0.0,0.0,0.4947626902128568
2021-11-30 00:50:00+00:00,ASIA,0.8368505167159624,0.028188966237325797,1.0,0.0,0.0,0.4903779999338501
2021-11-30 01:20:00+00:00,ASIA,0.8284927587564734,0.028183661563325996,1.0,0.0,0.0,0.4870338358152546
2021-11-30 01:40:00+00:00,ASIA,0.816823641437735,0.028180125113992798,1.0,0.0,0.0,0.4823654815978926
2021-10-27 02:30:00+00:00,ASIA,0.5236861599735421,0.853008656404832,0.0,0.0,1.0,0.48007619527038325
2021-11-26 00:30:00+00:00,ASIA,0.9201972287370692,0.02921100009462026,0.0,0.0,1.0,0.4739210915137517
2021-11-30 01:20:00+00:00,AMERICAS,0.7906047340570168,0.028183661563325996,1.0,0.0,0.0,0.4718786259354719
2021-11-24 23:20:00+00:00,AMERICAS,0.7834958390808151,0.029478002019276774,1.0,0.0,0.0,0.4692939360361814
2021-11-30 01:40:00+00:00,AMERICAS,0.7829473804993783,0.028180125113992798,1.0,0.0,0.0,0.46881497722254994
2021-11-24 23:20:00+00:00,ASIA,0.7819768056920054,0.029478002019276774,1.0,0.0,0.0,0.4686863226806576
2021-11-26 00:30:00+00:00,AMERICAS,0.9063965969140099,0.02921100009462026,0.0,0.0,1.0,0.468400838784528
2021-11-30 01:30:00+00:00,EUROPE,0.7647381381271975,0.036711809130335,1.0,0.0,0.0,0.463237617076946
2021-10-27 02:30:00+00:00,EUROPE,0.4801874233035254,0.853008656404832,0.0,0.0,1.0,0.46267670060237653
2021-10-27 02:30:00+00:00,AMERICAS,0.4676241813764968,0.853008656404832,0.0,0.0,1.0,0.4576514038315651
2021-11-24 23:30:00+00:00,ASIA,0.7497150220017454,0.029476233794610174,1.0,0.0,0.0,0.45578125555962024
2021-11-30 01:30:00+00:00,AMERICAS,0.7502286368294812,0.0281818933386594,1.0,0.0,0.0,0.4557278333995244
2021-11-24 23:20:00+00:00,EUROPE,0.7441386994229053,0.036711809130335,1.0,0.0,0.0,0.45499784159522916
2021-11-30 01:20:00+00:00,EUROPE,0.7410276485985344,0.036711809130335,1.0,0.0,0.0,0.4537534212654808
2021-11-30 00:50:00+00:00,EUROPE,0.737109825712584,0.036711809130335,1.0,0.0,0.0,0.4521862921111006
2021-11-30 00:50:00+00:00,AMERICAS,0.7374551490260297,0.028188966237325797,1.0,0.0,0.0,0.4506198528578771
2021-11-30 01:40:00+00:00,EUROPE,0.7230376934085341,0.036711809130335,1.0,0.0,0.0,0.44655743918948065
2021-11-30 01:30:00+00:00,AFRICA,0.7190985119874186,0.0281818933386594,1.0,0.0,0.0,0.44327578346269936
2021-11-26 21:20:00+00:00,ASIA,0.8409220065065344,0.028989972011295332,0.0,0.0,1.0,0.4421667970048728
2021-11-30 02:30:00+00:00,AMERICAS,0.8346136110721923,0.028171283990659803,0.0,0.0,1.0,0.43947970122700897
2021-11-24 23:30:00+00:00,AMERICAS,0.7040033835636531,0.029476233794610174,1.0,0.0,0.0,0.4374966001843833
2021-11-26 00:30:00+00:00,EUROPE,0.8232861373399746,0.036711809130335,0.0,0.0,1.0,0.4366568167620569
2021-11-24 23:30:00+00:00,EUROPE,0.6939585412842791,0.036711809130335,1.0,0.0,0.0,0.43492577833977863
2021-11-30 02:30:00+00:00,ASIA,0.8230218433493546,0.028171283990659803,0.0,0.0,1.0,0.43484299413787386
2021-11-26 21:20:00+00:00,AMERICAS,0.8092442983302256,0.028989972011295332,0.0,0.0,1.0,0.42949571373434936
2021-11-26 21:20:00+00:00,EUROPE,0.8020849546600828,0.036711809130335,0.0,0.0,1.0,0.42817634369010016
2021-11-30 02:30:00+00:00,EUROPE,0.8013884405311789,0.036711809130335,0.0,0.0,1.0,0.4278977380385386
2021-11-30 01:40:00+00:00,AFRICA,0.6697300873921709,0.028180125113992798,1.0,0.0,0.0,0.4235280599796669
2021-11-22 11:00:00+00:00,AFRICA,0.4014425646794655,0.03011809934858576,1.0,0.0,1.0,0.41660064574150335
2021-11-30 01:20:00+00:00,AFRICA,0.6487053965754508,0.028183661563325996,1.0,0.0,0.0,0.4151188909428455
2021-10-27 02:30:00+00:00,AFRICA,0.35605562540529295,0.853008656404832,0.0,0.0,1.0,0.4130239814430836
2021-11-26 00:30:00+00:00,AFRICA,0.7678174636697355,0.02921100009462026,0.0,0.0,1.0,0.41296918548681827
2021-11-24 23:20:00+00:00,AFRICA,0.6354992488507131,0.029478002019276774,1.0,0.0,0.0,0.4100952999441406
2021-11-30 00:50:00+00:00,AFRICA,0.6265314794079986,0.028188966237325797,1.0,0.0,0.0,0.40625038501066457
2021-11-30 02:30:00+00:00,AFRICA,0.7354505405603016,0.028171283990659803,0.0,0.0,1.0,0.3998144730222526
2021-11-22 07:20:00+00:00,AFRICA,0.6078447027770415,0.03015700029125095,1.0,0.0,0.0,0.3991692811690668
